<ObjectType>;<ObjectID>;<ConduitType>;<Postion>;<Color/Type>;<CableID>;<CableLenght[m]>
Node;POP.KL;-;0;PoP;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-001004.1<-->POP-000001.1(1);27
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0029;-;0;Handhole;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-001004.1<-->POP-000001.1(1);789
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;ZS.KL.0004;-;0;Pulling Box;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-001004.1<-->POP-000001.1(1);809
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0001-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;AVt.KL.0001;-;0;MFG18-Sockel;;0
Empty;;-;0;;;0
Node;POP.KL;-;0;PoP;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-001920.1<-->POP-000001.1(1);27
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0029;-;0;Handhole;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-001920.1<-->POP-000001.1(1);175
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0106;-;0;Handhole;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-001920.1<-->POP-000001.1(1);56
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:M-002665.1<-->MFG-001920.1(1);56
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0002-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;AVt.KL.0002;-;0;MFG18-Sockel;;0
Empty;;-;0;;;0
Node;POP.KL;-;0;PoP;;0
ConduitLink;VL-AVt.KL.0003-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-001921.1<-->POP-000001.1(2);27
ConduitLink;VL-AVt.KL.0003-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:MFG-001921.1<-->POP-000001.1(1);27
ConduitLink;VL-AVt.KL.0003-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-AVt.KL.0003-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0003-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0003-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0003-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0029;-;0;Handhole;;0
ConduitLink;VL-AVt.KL.0003-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-001921.1<-->POP-000001.1(2);324
ConduitLink;VL-AVt.KL.0003-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:MFG-001921.1<-->POP-000001.1(1);324
ConduitLink;VL-AVt.KL.0003-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-AVt.KL.0003-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0003-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0003-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0003-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;*[DctP]:FP-001205;-;0;Fitting Point;;0
ConduitLink;VL-AVt.KL.0003-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-001921.1<-->POP-000001.1(2);175
ConduitLink;VL-AVt.KL.0003-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:MFG-001921.1<-->POP-000001.1(1);175
ConduitLink;VL-AVt.KL.0003-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;*[CabL]:M-001526.1<-->MFG-001921.1(1);175
ConduitLink;VL-AVt.KL.0003-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0003-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0003-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0003-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;AVt.KL.0003;-;0;MFG18-Sockel;;0
Empty;;-;0;;;0
Node;*[DctP]:FP-001205;-;0;Fitting Point;;0
ConduitLink;VL-AVt.KL.0003-POP.KL-02;SRV-G 7 x 16x2.0;1;RED;;0
ConduitLink;VL-AVt.KL.0003-POP.KL-02;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-AVt.KL.0003-POP.KL-02;SRV-G 7 x 16x2.0;3;BLUE;*[CabL]:M-001526.1<-->MFG-001921.1(1);3
ConduitLink;VL-AVt.KL.0003-POP.KL-02;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0003-POP.KL-02;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0003-POP.KL-02;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0003-POP.KL-02;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0080;-;0;Handhole;;0
Empty;;-;0;;;0
Node;POP.KL;-;0;PoP;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-002118.1<-->POP-000001.1(2);27
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:M-000955.1<-->POP-000001.1(1);27
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;*[CabL]:MFG-002118.1<-->POP-000001.1(1);27
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0029;-;0;Handhole;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-002118.1<-->POP-000001.1(2);332
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:M-000955.1<-->POP-000001.1(1);332
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;*[CabL]:MFG-002118.1<-->POP-000001.1(1);332
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0115;-;0;Handhole;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-002118.1<-->POP-000001.1(2);122
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;*[CabL]:MFG-002118.1<-->POP-000001.1(1);122
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0030;-;0;Handhole;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-002118.1<-->POP-000001.1(2);826
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;*[CabL]:MFG-002118.1<-->POP-000001.1(1);826
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0075;-;0;Manhole;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-002118.1<-->POP-000001.1(2);1468
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;*[CabL]:MFG-002118.1<-->POP-000001.1(1);1468
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;ZS.KL.0001;-;0;Pulling Box;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-002118.1<-->POP-000001.1(2);250
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;*[CabL]:MFG-002118.1<-->POP-000001.1(1);250
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0087;-;0;Handhole;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-002118.1<-->POP-000001.1(2);439
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;*[CabL]:MFG-002118.1<-->POP-000001.1(1);439
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;*[CabL]:M-002105.1<-->MFG-002118.1(1);439
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0088;-;0;Handhole;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-002118.1<-->POP-000001.1(2);730
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:M-002153.1<-->MFG-002118.1(1);730
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;*[CabL]:MFG-002118.1<-->POP-000001.1(1);730
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;*[CabL]:M-002105.1<-->MFG-002118.1(1);730
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;ZS.KL.0030;-;0;Pulling Box;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-002118.1<-->POP-000001.1(2);656
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:M-002153.1<-->MFG-002118.1(1);656
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;*[CabL]:MFG-002118.1<-->POP-000001.1(1);656
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;*[CabL]:M-002105.1<-->MFG-002118.1(1);656
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0004-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;AVt.KL.0004;-;0;MFG18-Sockel;;0
Empty;;-;0;;;0
Node;POP.KL;-;0;PoP;;0
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-002650.1<-->POP-000001.1(1);27
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:M-002671.1<-->POP-000001.1(1);27
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0029;-;0;Handhole;;0
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-002650.1<-->POP-000001.1(1);629
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:M-002671.1<-->POP-000001.1(1);629
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0117;-;0;Handhole;;0
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-002650.1<-->POP-000001.1(1);369
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;;0
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0081;-;0;Handhole;;0
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-002650.1<-->POP-000001.1(1);992
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;;0
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;*[CabL]:M-001652.1<-->MFG-002650.1(1);992
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0099;-;0;Handhole;;0
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:MFG-002650.1<-->POP-000001.1(1);86
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:M-002654.1<-->MFG-002650.1(1);86
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;3;BLUE;*[CabL]:M-001652.1<-->MFG-002650.1(1);86
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;4;YELLOW;;0
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0005-POP.KL-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;AVt.KL.0005;-;0;MFG18-Sockel;;0
Empty;;-;0;;;0
Node;AVt.KL.0006;-;0;MFG18-Sockel;;0
ConduitLink;VL-AVt.KL.0006-EP-KL-21-01;SRV-G 7 x 16x2.0;1;RED;*[CabL]:M-002819.1<-->MFG-002716.1(2);55
ConduitLink;VL-AVt.KL.0006-EP-KL-21-01;SRV-G 7 x 16x2.0;2;GREEN;*[CabL]:M-002819.1<-->MFG-002716.1(1);55
ConduitLink;VL-AVt.KL.0006-EP-KL-21-01;SRV-G 7 x 16x2.0;3;BLUE;*[CabL]:M-001987.1<-->MFG-002716.1(1);55
ConduitLink;VL-AVt.KL.0006-EP-KL-21-01;SRV-G 7 x 16x2.0;4;YELLOW;*[CabL]:M-002032.1<-->MFG-002716.1(1);55
ConduitLink;VL-AVt.KL.0006-EP-KL-21-01;SRV-G 7 x 16x2.0;5;WHITE;;0
ConduitLink;VL-AVt.KL.0006-EP-KL-21-01;SRV-G 7 x 16x2.0;6;GREY;;0
ConduitLink;VL-AVt.KL.0006-EP-KL-21-01;SRV-G 7 x 16x2.0;7;BROWN;;0
Node;KSch.KL.0085;-;0;Handhole;;0
